B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B3	B32	B33	B34	B4	B5	B6	B7	B8	B9
B4U62_00725	29021	16169	14373	13093	9228	7536	6094	10462	7878	13792	6107	27448	3517	5539	8625	233	245	1236	3136	3318	243	25398	4164	3418	4825	9557	12054	10714	16634	11478	15826
B4U62_00730	43335	26671	21457	20998	14784	10883	9378	16172	12021	20341	9505	37890	6260	9753	16920	686	730	2089	6768	6468	426	35975	18110	13732	22161	16473	16696	14255	22401	15514	23568
B4U62_00735	29084	18202	15502	15129	10851	7381	6933	10953	8806	14079	6724	25024	4934	7223	12544	604	794	2165	5890	4795	524	25182	17111	13829	21813	10356	10809	9464	16383	11116	15734
B4U62_00740	8587	5248	4362	4484	3092	2122	2025	3248	2266	3857	1883	6975	1314	1950	4021	159	171	584	1750	1552	129	7079	5999	4791	6913	3149	3479	3207	4696	3162	4708
B4U62_00745	53061	33815	28683	28564	21092	14100	12476	20212	14384	24262	12782	44033	9798	14157	22357	1332	1497	3905	10521	8651	780	42861	39350	29719	48981	21827	21305	18040	29832	19127	27995
B4U62_00750	12229	7952	7341	7024	5262	3525	3184	5358	3323	6046	3034	8848	2612	4043	5891	252	318	992	2778	2254	259	9286	10731	8277	13009	5333	5463	4840	7033	4395	6146
B4U62_00755	10463	7056	6823	6146	4910	3626	3166	4242	3115	5641	2895	7977	2607	3678	5202	408	451	1033	2563	1758	253	8458	10948	8901	13090	5235	5108	4550	6359	4070	5011
B4U62_00760	23026	16682	13950	14075	11135	7389	6687	9732	7339	12096	6544	17850	6408	8620	12610	1073	1185	2365	6255	4649	505	18867	25219	21166	33032	12234	11761	9328	13918	9032	11429
B4U62_00765	10843	8846	6653	7274	5244	3366	3207	4857	3344	5608	2765	7937	2940	4233	6050	505	505	1493	3096	2519	289	8593	13930	10942	18969	6449	6239	4763	6271	4196	5738
B4U62_00770	2474	1592	1534	1480	942	630	658	1025	662	1103	534	1613	534	819	1333	47	37	153	517	477	61	1960	2921	2571	3950	1238	1313	1041	1358	830	1123
